epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,12331.8,0.82852,1.36714,0.72017,1.08093,0.83048,0.71888,0.76975,0.58989,0.74136,0.63855,0.62543,0.20099,0.90835,1.14003,0.91697,0.99014,0.007591,0.007591,0.007591
75,12497.4,0.83259,1.36629,0.71174,1.07521,0.8082,0.72768,0.75466,0.57024,0.7333,0.6294,0.60631,0.2021,0.9245,1.14519,0.91494,0.98871,0.007558,0.007558,0.007558
76,12661.4,0.82858,1.36592,0.72244,1.07757,0.82168,0.751,0.80263,0.61243,0.74012,0.6988,0.67035,0.21841,0.89888,1.14472,0.87915,0.97393,0.007525,0.007525,0.007525
77,12825.9,0.81875,1.35976,0.71175,1.07177,0.80951,0.75502,0.77626,0.61245,0.736,0.69418,0.66881,0.22168,0.91473,1.10187,0.88244,0.99589,0.007492,0.007492,0.007492
78,12990.5,0.82107,1.37378,0.69444,1.07111,0.85908,0.75899,0.79188,0.62466,0.7803,0.69076,0.67354,0.23142,0.88055,1.12918,0.88521,1.00479,0.007459,0.007459,0.007459
79,13157.6,0.82379,1.35748,0.70209,1.06641,0.83331,0.75502,0.79591,0.61625,0.73747,0.66667,0.6287,0.20816,0.86764,1.12098,0.90639,1.00325,0.007426,0.007426,0.007426
80,13325,0.8245,1.35974,0.71353,1.07716,0.83467,0.72289,0.77309,0.58923,0.78867,0.6988,0.68087,0.20765,0.89589,1.1313,0.93347,1.01792,0.007393,0.007393,0.007393
81,13492,0.80919,1.3416,0.69908,1.06848,0.84675,0.751,0.77999,0.60033,0.76895,0.66831,0.64961,0.21155,0.90302,1.12836,0.91239,1.01513,0.00736,0.00736,0.00736
82,13657.9,0.81118,1.36898,0.70403,1.065,0.78141,0.76088,0.79113,0.60757,0.70304,0.68457,0.64296,0.21817,0.90488,1.14459,0.88176,1.00287,0.007327,0.007327,0.007327
83,13821.6,0.81593,1.35825,0.71261,1.0727,0.81154,0.77108,0.78812,0.60784,0.74821,0.69478,0.6567,0.21526,0.9248,1.13531,0.89128,1.00133,0.007294,0.007294,0.007294
84,13986.5,0.81533,1.33982,0.6931,1.07007,0.85813,0.73092,0.80502,0.6235,0.76107,0.6747,0.66371,0.21576,0.88536,1.1239,0.87853,0.9757,0.007261,0.007261,0.007261
85,14152.5,0.80404,1.34059,0.68543,1.06482,0.8343,0.77912,0.79531,0.59726,0.74881,0.67871,0.6457,0.21371,0.93804,1.14664,0.85327,1.00974,0.007228,0.007228,0.007228
86,14318.9,0.8103,1.36398,0.69461,1.07216,0.83474,0.75056,0.7842,0.60817,0.73077,0.67068,0.62832,0.20925,0.88087,1.149,0.87474,0.97974,0.007195,0.007195,0.007195
